2026-05-15 15:20:37 | INFO | paper_crawler_agent | ✓ Skip already-done source: IJCAI 2025 Proceedings (status=released_fixed_parser, papers=1279, last_success=2026-05-15 15:13:29)
2026-05-15 15:20:37 | INFO | paper_crawler_agent | Checking source: NeurIPS 2025 Proceedings
2026-05-15 15:20:37 | INFO | paper_crawler_agent | ✓ Skip already-done source: NeurIPS 2025 Proceedings (status=released_fixed_parser, papers=5823, last_success=2026-05-15 15:13:58)
2026-05-15 15:20:37 | INFO | paper_crawler_agent | Checking source: KDD 2025 Research Track
2026-05-15 15:20:40 | INFO | paper_crawler_agent | [Phase1] Searching release URL for KDD 2025 Research Track ...
2026-05-15 15:20:43 | WARNING | paper_crawler_agent | [Phase1] Search failed for KDD 2025 Research Track: Error code: 400 - {'error': {'message': 'invalid temperature: only 0.6 is allowed for this model', 'type': 'invalid_request_error'}}
2026-05-15 15:20:43 | ERROR | paper_crawler_agent | LLM release judge failed: KDD 2025 Research Track
Traceback (most recent call last):
  File "/Users/einzbern/Documents/code/update_paper_agent/agent/paper_agent.py", line 410, in run_source
    release_judge = self._llm_release_judge(source, page_info, html)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/einzbern/Documents/code/update_paper_agent/agent/paper_agent.py", line 219, in _llm_release_judge
    return judge_release_status(self.llm_client, page_info, html, max_html_chars=max_html_chars)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/einzbern/Documents/code/update_paper_agent/planner/release_judge.py", line 47, in judge_release_status
    result = llm_client.chat_json(SYSTEM_PROMPT, json.dumps(payload, ensure_ascii=False, indent=2))
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/einzbern/Documents/code/update_paper_agent/planner/llm_client.py", line 38, in chat_json
    resp.raise_for_status()
